filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
179.json,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,79,119,67,28,3,4,24,14,malicious
18.json,0,1,1,16,0,0,0,96,57,0,0,2,0,0,0,0,0,0,412,0,0,0,0,1,0,benign
180.json,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,15,3,81,79,82,22,3,8,25,15,malicious
181.json,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,91,101,111,27,3,3,22,16,malicious
182.json,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,94,152,68,28,3,13,20,14,malicious
183.json,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,16,3,89,138,92,24,3,18,24,18,malicious
184.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,benign
185.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,80,147,3,23,5,4,7,7,suspicious
186.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,101,185,45,20,5,7,7,7,suspicious
187.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,13,1320,0,0,2,12,4,4,benign
188.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,15,1799,0,0,2,14,6,5,suspicious
189.json,1,0,2,40,0,0,0,196,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,9,malicious
19.json,0,1,3,46,0,0,0,370,249,0,0,3,0,22,0,0,0,0,6,0,0,0,0,2,1,benign
190.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,13,653,0,0,2,12,6,5,suspicious
191.json,0,0,9,193,1,1,1,1048,484,4,0,8,0,13,0,24,3,13,511,0,0,3,12,27,18,malicious
192.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,89,0,0,1,0,6,5,suspicious
193.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,0,0,1,0,6,5,suspicious
194.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,982,3,0,2,0,7,6,suspicious
195.json,0,1,17,228,1,1,2,1693,927,25,2,17,0,21,1,24,14,16,1003,0,0,14,14,37,28,malicious
196.json,0,1,17,211,1,2,4,1050,543,4,0,17,2,17,1,26,14,19,1395,0,0,14,13,34,25,malicious
197.json,0,2,9,236,4,6,13,1924,484,40,11,13,2,15,3,26,3,19,3439,1,0,3,13,26,18,malicious
198.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
199.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,39,0,0,2,4,0,0,benign
2.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
20.json,0,1,1,35,0,0,0,221,143,0,0,1,0,2,0,0,0,0,15,0,0,0,0,6,1,benign
200.json,1,0,2,40,0,0,0,193,149,0,0,1,0,0,0,0,10,0,481,0,0,10,0,17,13,malicious
201.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
202.json,0,0,1,25,0,0,0,171,63,10,0,0,0,2,0,1,1,0,43,0,0,1,0,3,0,benign
203.json,0,2,3,285,0,0,3,6054,2203,784,15,3,0,13,0,2,1,0,103,0,0,1,1,12,4,malicious
204.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
205.json,0,1,4,448,0,1,4,7141,4312,182,5,1,0,56,1,8,3,32,31,44,8,3,4,22,14,malicious
206.json,0,2,7,1142,0,0,7,4992,3753,8,0,4,0,6,2,9,2,52,21,50,32,2,2,20,12,malicious
207.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,26,27,33,7,2,3,14,11,suspicious
208.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,benign
209.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,25,23,34,7,3,3,15,12,suspicious
21.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
210.json,0,0,1,7,0,0,0,14,8,0,0,0,0,1,0,5,1,9,6,6,1,1,3,13,9,benign
211.json,1,0,2,40,0,0,0,199,155,0,0,1,0,0,0,0,10,0,473,0,0,10,0,17,13,malicious
212.json,90,0,90,275,90,90,0,9,2,4,0,90,0,1,0,8,2,28,30,71,4,2,4,16,15,suspicious
213.json,51,102,52,158,51,51,0,9,2,4,0,51,0,1,0,12,3,36,11,21,7,3,2,20,17,suspicious
214.json,17,32,17,53,16,16,0,9,2,4,0,16,0,1,0,7,2,25,29,42,4,2,2,19,16,malicious
215.json,0,0,1,7,0,0,0,14,8,0,0,0,0,1,0,8,1,19,8,6,1,1,2,14,10,benign
216.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
217.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
