filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
84.json,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,49,3,0,0,0,7,3,malicious
85.json,1,0,5,350,1,1,1,972,503,18,0,6,0,3,1,0,0,0,0,0,0,0,0,33,16,malicious
86.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,benign
87.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,58,1,0,0,0,1,0,benign
88.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
89.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
9.json,3,1,5,186,0,0,2,611,374,17,0,2,0,5,0,1,1,295,92,2,1,1,0,19,13,malicious
90.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
91.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
92.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,78,1,0,0,0,1,0,benign
93.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,21,0,0,0,0,0,0,benign
94.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,1,0,0,0,7,4,malicious
95.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,7,3,malicious
96.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
97.json,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,666,3,0,0,0,9,4,malicious
98.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115,66,4,0,0,0,8,5,malicious
99.json,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,384,110,2,1,2,1,19,10,malicious
